example_id,before_intent,after_intent,before_confidence,after_confidence,before_flagged,after_flagged,after_reason,moved_from_other_unclear
spotify-1678772,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,High,True,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-1658085,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2259670,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues.,False
spotify-863703,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-79400,OTHER_UNCLEAR,APP_TECHNICAL_COMPATIBILITY,Low,Medium,True,True,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-2251356,OTHER_UNCLEAR,APP_TECHNICAL_COMPATIBILITY,Low,Low,True,True,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-753650,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,High,High,False,False,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False
spotify-2077438,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,High,True,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,True
spotify-763733,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-490757,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,Medium,True,True,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1964335,OTHER_UNCLEAR,ACCOUNT_ACCESS_SECURITY,Low,High,True,False,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context.,True
spotify-998484,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,High,High,False,False,Customer evidence matched subscription plan cues.,False
spotify-2954674,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,High,High,False,False,Customer evidence matched playlist library discovery cues.,False
spotify-1218575,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-2201052,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-286430,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,Medium,True,True,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-2780797,OTHER_UNCLEAR,SUBSCRIPTION_PLAN,Low,High,True,False,Customer evidence matched subscription plan cues.,True
spotify-1112284,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues.,False
spotify-2039555,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-985604,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,High,High,False,False,Customer evidence matched subscription plan cues.,False
spotify-1664969,OTHER_UNCLEAR,PLAYBACK_AUDIO,Low,Medium,True,True,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-1190770,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2592336,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues.,False
spotify-2701631,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,Medium,True,True,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-2565922,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,Medium,True,True,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1007217,DOWNLOADS_OFFLINE_STORAGE,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2077242,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False
spotify-825320,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Medium,True,True,Customer evidence matched feature request product feedback cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-189891,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1805867,OTHER_UNCLEAR,DOWNLOADS_OFFLINE_STORAGE,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True
spotify-66015,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True
spotify-500947,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,Low,Low,True,True,Customer evidence matched billing payment refund cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1347519,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,Medium,High,True,False,Customer evidence matched billing payment refund cues.,False
spotify-948691,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True
spotify-391817,ACCOUNT_ACCESS_SECURITY,CONTENT_AVAILABILITY_METADATA,Medium,Medium,True,True,Customer evidence matched content availability metadata cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2251476,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,High,True,False,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,True
spotify-2774667,FEATURE_REQUEST_PRODUCT_FEEDBACK,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,False
spotify-1860490,OTHER_UNCLEAR,SUBSCRIPTION_PLAN,Low,High,True,False,Customer evidence matched subscription plan cues.,True
spotify-2306948,OTHER_UNCLEAR,DOWNLOADS_OFFLINE_STORAGE,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True
spotify-64361,OTHER_UNCLEAR,SUBSCRIPTION_PLAN,Low,High,True,False,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context.,True
spotify-1659864,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,Medium,True,True,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2218776,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-1758258,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,High,High,False,False,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context.,False
spotify-2289620,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,Medium,Medium,True,True,Customer evidence matched playlist library discovery cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2302297,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,High,True,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,True
spotify-2456284,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues.,False
spotify-2431656,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,Medium,Medium,True,True,Customer evidence matched community integrations cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2246126,OTHER_UNCLEAR,APP_TECHNICAL_COMPATIBILITY,Low,Medium,True,True,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True
spotify-500973,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,Medium,High,True,False,Customer evidence matched billing payment refund cues.,False
spotify-1906057,OTHER_UNCLEAR,PLAYBACK_AUDIO,Low,Medium,True,True,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True
spotify-1321073,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,High,High,False,False,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context.,False
spotify-2764536,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Medium,True,True,Customer evidence matched feature request product feedback cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-725986,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,Medium,Medium,True,True,Customer evidence matched account access security cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-211040,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,Medium,True,True,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-2246105,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2861227,FEATURE_REQUEST_PRODUCT_FEEDBACK,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,False
spotify-1225396,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,Medium,Medium,True,True,Customer evidence matched downloads offline storage cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-979102,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False
spotify-1601184,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2915226,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1926547,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,Medium,Medium,True,True,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1814367,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1240024,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1855903,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-885045,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,Medium,Medium,True,True,Customer evidence matched account access security cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1899883,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1219449,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,Medium,Medium,True,True,Customer evidence matched billing payment refund cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-539214,OTHER_UNCLEAR,BILLING_PAYMENT_REFUND,Low,Medium,True,True,Customer evidence matched billing payment refund cues. Human review is required because the evidence is not sufficiently decisive.,True
spotify-570528,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,False
spotify-2759842,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2245992,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1545840,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-486937,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1058792,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,Medium,True,True,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2442949,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,High,True,False,Customer evidence matched app technical compatibility cues.,False
spotify-510537,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,High,High,False,False,Customer evidence matched billing payment refund cues.,False
spotify-2482212,OTHER_UNCLEAR,PLAYBACK_AUDIO,Low,Medium,True,True,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True
spotify-2073649,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Medium,True,True,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True
spotify-1413930,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,High,High,False,False,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False
spotify-2482901,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2286856,PLAYBACK_AUDIO,PLAYBACK_AUDIO,Medium,Medium,True,True,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1353871,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-2859013,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,High,True,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,True
spotify-1960584,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2245942,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,High,High,False,False,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context.,False
spotify-394175,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,Medium,Medium,True,True,Customer evidence matched community integrations cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-310863,OTHER_UNCLEAR,CONTENT_AVAILABILITY_METADATA,Low,High,True,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,True
spotify-2596657,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,Medium,Medium,True,True,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2488831,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1909376,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-607484,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,High,High,False,False,Customer evidence matched community integrations cues. Historical Spotify reply provides corroborating context.,False
spotify-1705675,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,Medium,Medium,True,True,Customer evidence matched community integrations cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1958845,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,High,High,False,False,Customer evidence matched subscription plan cues.,False
spotify-2239794,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Low,Low,True,True,Customer evidence matched app technical compatibility cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1794763,BILLING_PAYMENT_REFUND,BILLING_PAYMENT_REFUND,High,High,False,False,Customer evidence matched billing payment refund cues.,False
spotify-853260,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,Medium,Medium,True,True,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-453442,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,High,High,False,False,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context.,False
spotify-1243941,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,Medium,Medium,True,True,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1403681,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,Medium,False,True,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2210881,OTHER_UNCLEAR,PLAYLIST_LIBRARY_DISCOVERY,Low,High,True,False,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,True
spotify-1159734,OTHER_UNCLEAR,APP_TECHNICAL_COMPATIBILITY,Low,High,True,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,True
spotify-2404070,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-874991,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,High,High,False,False,Customer evidence matched community integrations cues. Historical Spotify reply provides corroborating context.,False
spotify-2009570,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-875075,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-786847,DOWNLOADS_OFFLINE_STORAGE,DOWNLOADS_OFFLINE_STORAGE,High,High,False,False,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False
spotify-2242874,OTHER_UNCLEAR,PLAYLIST_LIBRARY_DISCOVERY,Low,High,True,False,Customer evidence matched playlist library discovery cues.,True
spotify-1553419,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,High,True,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-1773092,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1788796,ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,Low,Low,True,True,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,False
spotify-2976126,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1509481,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Low,Low,True,True,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2459291,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues.,False
spotify-721510,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1269654,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,Medium,Medium,True,True,Customer evidence matched playlist library discovery cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-458064,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-1034898,OTHER_UNCLEAR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,High,True,False,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,True
spotify-1105781,OTHER_UNCLEAR,OTHER_UNCLEAR,Low,Low,True,True,No clear standalone issue or taxonomy-specific evidence in the customer message.,False
spotify-910877,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,False
spotify-981127,CONTENT_AVAILABILITY_METADATA,CONTENT_AVAILABILITY_METADATA,High,High,False,False,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,False
spotify-876411,COMMUNITY_INTEGRATIONS,COMMUNITY_INTEGRATIONS,High,High,False,False,Customer evidence matched community integrations cues. Historical Spotify reply provides corroborating context.,False
spotify-2898346,FEATURE_REQUEST_PRODUCT_FEEDBACK,FEATURE_REQUEST_PRODUCT_FEEDBACK,High,High,False,False,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,False
spotify-2052899,SUBSCRIPTION_PLAN,SUBSCRIPTION_PLAN,Medium,Medium,True,True,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,False
spotify-2246079,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,High,High,False,False,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False
spotify-500978,APP_TECHNICAL_COMPATIBILITY,APP_TECHNICAL_COMPATIBILITY,Medium,Medium,True,True,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,False
spotify-1451701,PLAYLIST_LIBRARY_DISCOVERY,PLAYLIST_LIBRARY_DISCOVERY,High,High,False,False,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False
