example_id,customer_message,spotify_reply,suggested_intent,confidence,confidence_reason,requires_human_review,confidence_score,suggestion_source
spotify-2565922,"Why does Spotify insist on enabling repeat constantly? I listen to albums, and NEVER want repeat enabled. When I’m done an album, I move onto another. ?","Hey Matt! Don’t worry, we can help. Can you let us know the device/OS you’re using? We'll see what we can suggest /CO",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1007217,"Help. Only some of my ""Songs"" are available offline on my Mac whereas all of them are available offline on my phone.","Hey there! That's odd. Have you tried logging out, restarting your device, then logging back in? /PB",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-825320,why remove the preview feature? ☹️,Hey! We have more info about this here: Give us a shout if you have any questions /QI,FEATURE_REQUEST_PRODUCT_FEEDBACK,Medium,Customer evidence matched feature request product feedback cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-189891,What if I already pay $10 a month for spotify premium?,"Hey! If you're a student in one of our accredited schools, you can take the offer. You'll be charged 4,99 USD on your next renewal date /SC",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1805867,Wonder if has this same problem.,Hey. Sorry to hear that. Check the steps under “Downloads unexpectedly removed” at They should help with this /QI,DOWNLOADS_OFFLINE_STORAGE,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-66015,"but it's been requested for years now, what's the point?",Our Devs team will check your votes and keep you updated on any news in the link we sent. Tweet us if you need more help /EA,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-500947,"hi, received the 12 months for price of 10 offer via email, followed the link, but it states that I am not eligible. Can you please clarify?","Hey there, help's here! Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK",BILLING_PAYMENT_REFUND,Low,Customer evidence matched billing payment refund cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply
spotify-948691,'Remember dis?',"We do. Rest assured, we'll give the right folks a nudge about your feedback. We hope it'd be available in all regions soon /AY",FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-391817,"I reset my password as soon as I noticed so I'm good, but I don't have my saved music, is there a way to restore the albums I have saved?","Got it! If it looks like your offline music isn't downloaded, we'll need to get them saved again. Keep us in the loop /JX",CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2774667,Ill be sleeping early and hope to wake up with #reputation album at or at 😕,We hear you! Your feedback has been noted and passed onto the team 🙂 /DR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2306948,i️ don’t pay $15 a month for your bitchasses to delete my shit once a month y’all needa figure ur shit out,Hey! Sorry to hear you feel that way. Check out the steps under “Downloads unexpectedly removed” at /JS,DOWNLOADS_OFFLINE_STORAGE,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1659864,"""songs"" is now a 3 second preview. Playlists have a shuffle option and a 3 second preview option. I am so mad right now.","Hey Brett! Can you give us more info on this? What device, operating system, and Spotify version are you using? /NG",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2289620,"8.4.26.793 on both devices. That's a bit weird, exact same versions on two devices one says your music the outher Says your library",Hmm. Can you DM us your account's email address? We'll take a look under the hood /KB,PLAYLIST_LIBRARY_DISCOVERY,Medium,Customer evidence matched playlist library discovery cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2431656,how can I change my Spotify account settings if it’s a Facebook account but I deleted my Facebook page months ago? Help!!,We've just sent a DM your way. Let's carry on chatting there /CG,COMMUNITY_INTEGRATIONS,Medium,Customer evidence matched community integrations cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2246126,"I used the Inspect element in Chrome to look at the code for the form. It loaded in the window pane on the left side. When I closed the inspection tool, the form was still there. I entered my information and all is well. Weird.","Just to clarify, were you able to successfully update your payment details? /LM",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1906057,"Haha, there are thousands of them. Thanks for your attention, but I thought streaming and Clouds should work in other way 😐",We appreciate your thoughts. Rest assured that we'll pass on your feedback to the right folks /PL,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2764536,How do I gain access to your lossless beta? Super close to switching from but need lossless.,Hey! We're always testing things in order to improve Spotify. There's more info here: /AY,FEATURE_REQUEST_PRODUCT_FEEDBACK,Medium,Customer evidence matched feature request product feedback cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-725986,When I click on my favs : it redirect me to the login page.. always..,"That's odd. Just to check, are you getting any error messages? If so, a screenshot will come in handy /GU",ACCOUNT_ACCESS_SECURITY,Medium,Customer evidence matched account access security cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-211040,It’s Wednesday pal. Not on it tonight,With Spotify it's always a party 😉. Keep rocking /ND,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2246105,Weet iemand waarom dit niet op te vinden is?,"Hi there! We can help out in English via Twitter, but we also have Dutch support via email at /MT",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2861227,put sorry not sorry by demi on today top hits 👏🏻,"Hi Alex, thanks for the feedback! Our Curation team are independent & use taste, data, research, and trends to create playlists, but we’ll pass your suggestion on /NJ",FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1225396,"you keep undownloading my music, I’m ready brawl","Hey there, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TY",DOWNLOADS_OFFLINE_STORAGE,Medium,Customer evidence matched downloads offline storage cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1601184,Would really rather you just put in a bug report w/ devs. I love Spotify but this volume issue honestly kills it,Could you DM us your username or email address so we can take a closer look? /JU,APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2915226,"yeah... if you could just fix your app, that would be great 👍🏼",Hey Lizz! Everything should be running smoothly now. Let us know if this is still happening /GN,APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1926547,I'm also trying to shuffle my saved Songs (1100+) and still shuffle plays 8 songs from the same album or nearby on the list...,"1: Hi Jack! While we don't have plans to bring back the play queue right now, we're still testing, improving, and taking all feedback.",PLAYLIST_LIBRARY_DISCOVERY,Medium,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1814367,Awww you did wrong :(,"Hey, thanks for reporting! Great detective work. /NQ",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1240024,I'm from Canada and it's still not working ://////,"Hi there! We're afraid the album isn't available in your region yet. For more info, click here: /AU",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1855903,"I'm trying to play & it keeps saying the song is unavailable, on desktop & mobile - no prob with others. Help?","Hi Peter, that doesn't sound good. Could you let us know the operating systems and Spotify versions you're running on both devices? /JO",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-885045,why did I pay for premium if y’all won’t let me log into my account??????????????????,"Hi Michelle, help's arrived! Could you DM us your username and email address? We'll take a closer look 🔍 /JQ",ACCOUNT_ACCESS_SECURITY,Medium,Customer evidence matched account access security cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1899883,please help! I'm having trouble with manager-artist verification 😩😩😩,"Hey there! This is something for our Artist Services team. Not to worry, you can contact them here: 🙂 /DF",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1219449,need help with getting a refund,Hey Mike! Help's here. Can you DM us your account's username or email address? We'll take a look under the hood /CP,BILLING_PAYMENT_REFUND,Medium,Customer evidence matched billing payment refund cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-539214,there's no way to purchase this. Why is there no wary to purchase this!?,"Hi Tyler, that doesn't seem right! Can you try opening in an incognito/private browser? Keep us posted /GT",BILLING_PAYMENT_REFUND,Medium,Customer evidence matched billing payment refund cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-570528,"hi there, how do I stop my music from cutting off when I receive a snapchat notification?","Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /AP",APP_TECHNICAL_COMPATIBILITY,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2759842,same problem. Can you answer me?,Hi! We've just replied to your DM. Let's continue chatting there /JL,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2245992,hi i’m needy and need help again lol SOS,Hey! Glad to hear from you again. How can we help? /CP,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1545840,"thanks to you, as expected from spotify support 👍🏻 I hope it is resolved soon","Don't worry, our Content folks will look into it as soon as possible. For anything else, just give us a shout /LP",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-486937,Thank you. Xx,"You're welcome! Just send us the info we asked for via DM, and we'll take things from there /CP",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1058792,I can't listen to the Tron soundtrack for some reason? Is it disabled?,"Hi Ricky! Could you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2482212,"I phone! Beeps really loud every time I change a song with the volume up, and I was wondering if I could turn the beep off.","Hmm, that's odd. Could you try uninstalling and reinstalling the app? Let us know how it goes /DF",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2073649,Really hope give us all the music facts about our 2017 music like they did a couple of years ago !!,"We hear you loud and clear, Ellen! We can’t make any promises but we’ll pass your feedback onto the right folks 🙂 /NJ",FEATURE_REQUEST_PRODUCT_FEEDBACK,Medium,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2482901,thank you for your concern but its all fixed!,"Awesome, thanks for letting us know. Enjoy the music! 🙂 /BH",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2286856,Specifically chose to shuffle play Kanye’s 808s and Heartbreak album. The algorithm came no where close,"Hey there! Looks like this is one of your Suggested Tracks. To get less of these, try adding more artists into your playlists /MG",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1353871,how can i get back to my address that been register? Currently subscribe to spotify family,Hey Kamal! Can you DM us your account's username and email address? We'll take a look backstage /TF,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1960584,"my bfs Spotify works but mine doesn't and we are on a family plan , this is the second time this happened and you have no #","Hi Karissa! We currently don't offer phone support, but we can help via Twitter. Can you DM us your account's email address or username? /RH",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-394175,Hello. Im having a problem with my Spotify account. It's not connecting to my Facebook account.,"Hey Michael, that's not cool! We'd recommend following the steps here: Let us know how it goes 🙂 /PX",COMMUNITY_INTEGRATIONS,Medium,Customer evidence matched community integrations cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2596657,"Hello Spotify - i can log into my account and even edit, but I’m somehow locked out of managing my Family Plan account.",Hey Brad! Could you send us a DM with your account's email address? We'll take a look backstage /FR,ACCOUNT_ACCESS_SECURITY,Medium,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2488831,I have a question my Rogers subscription expires in a few days I have 3 numbers for free and I pay for a 4th .,"Hey Leo, help's here! Could you DM us your username and email address? We'll take a look backstage /PX",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1909376,", Check your mail and get back to me #NoAnswer","Hey there! We can chase this up for you. Could you let us know your 8-digit case #? If you'd like, we could also help via Twitter /PB",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1705675,"Hi, can't seem to sign up for a new non-Facebook account, screen hangs after pressing sign up & there's some JS errors.",Hey Simon! Can you DM us your account's email address or username? We'll check backstage /AR,COMMUNITY_INTEGRATIONS,Medium,Customer evidence matched community integrations cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2239794,"Thanks for answering. I'm in Israel, but I have a VPN with apparent endpoint USA. Doesn't seem to matter; I can't get in no matter what I try.","We're afraid we aren't available there yet and can't guarantee that using a VPN will work, but you can try using an incognito window /DR",APP_TECHNICAL_COMPATIBILITY,Low,Customer evidence matched app technical compatibility cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply
spotify-853260,Ya'll gonna update my Time Capsule playlist with new songs or am i just supposed to listen to the same 30 tracks over n over?,"Hi! We're afraid it's not possible to update Your Time Capsule as it's a one-time playlist, but we'll pass on your feedback to the team /NY",PLAYLIST_LIBRARY_DISCOVERY,Medium,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1243941,i know im offline but how exactly am i supposed to connect online when i try to log in n ur msg keeps tellin me to connect online?,"Hey Joe! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /KC",DOWNLOADS_OFFLINE_STORAGE,Medium,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1403681,I had to re-download all my offline playlists upon switching iphones and noticed the downloads seems to work when you’re in the app and not in the background when the app is minimised.,"That's odd. Could you let us know which iPhone you're using, your iOS version, and the Spotify version you're running? We'll see what we can suggest /KT",DOWNLOADS_OFFLINE_STORAGE,Medium,Customer evidence matched downloads offline storage cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-875075,Tried **. At least my student discount still works lol so I won't be leaving just yet 😂,"We hear you. Thanks for bearing with us. Keep an eye out, hopefully we'll have a fix soon! /TB",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1773092,a little frustrated with your app right now. Help me please!? 🙄,"Hey, we'd love to help out! Can you tell us what's happening exactly? /LO",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-1788796,"I have an unknown mobile device connecting to my premium account. I've tried disconnect all devices, pw change. What now?","Hey Zachary! Head to and click Sign Out Everywhere. You may want to change your password again, just to be safe /TF",ACCOUNT_ACCESS_SECURITY,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply
spotify-2976126,Thanks very much for the RT. Would love to chat w u about more collaborations. Up 4 that?,Hey Dave! This sounds like something for our Artist Services friends. You can reach out to them here: /KP,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1509481,why the app isn't supported in so many countrys such as mine (tunisia ) ??????? Don't we have the right to enjoy spotify music too?,Hi Laith! We've just replied to your DM. Check it out 🙂 /JP,APP_TECHNICAL_COMPATIBILITY,Low,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply
spotify-721510,huy bogus ka balik mo pera ko,Hey Rizza! We've just sent you a DM. Let's continue chatting there /NS,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1269654,Genius for Apps is now labeled 'Recommendations' and is just that - App Store recommendations. It has nothing to do with Spotify.,"1: We're afraid it's currently not possible to disable it, but we'll be sure to pass on your feedback. For now, you can head to...",PLAYLIST_LIBRARY_DISCOVERY,Medium,Customer evidence matched playlist library discovery cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-458064,What's stranger things mode,Hey Timothy! You're onto us. The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. Experience it at Let us know if you need anything else /RA,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-1105781,Sure! Will do :),"Hey Erica! We just sent you a reply to your DM, so we'll continue assisting you there /TF",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply
spotify-910877,Hi nothing in the link you sent to me allows me to upgrade:,"Hey! We're glad to hear you're interested in getting Premium. If you already have an account, just head here: /CO",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
spotify-2052899,Can you add more than 5 to premium?,"Hi Tony, help's here! You can add up to 5 members on a Family plan. For more info, head here: Hope this helps /JQ",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply
