example_id,customer_message,spotify_reply,suggested_intent,confidence,confidence_reason,requires_human_review,confidence_score,suggestion_source,final_intent,review_status,review_notes,reviewed,label_source,label_action
spotify-1145854,don't think this is Ghostface Killah lads .... jaysus,Thanks. We'll get this reported. Great detective work! /MT,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-700419,Please bring Spotify to #BlackBerry10,"Hey Carlos! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /K",FEATURE_REQUEST_PRODUCT_FEEDBACK,High,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-2551340,"🤦🏿‍♂️ Ashanti was never on into you. Ever! Not on a remix, single, dj remix, techno remix nothing. Blasphemy I tell you",We hear you! We'll be sure to forward this on to the right folks. Great detective work 🔍 /TB,CONTENT_AVAILABILITY_METADATA,High,Customer evidence matched content availability metadata cues.,False,High,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-1740085,Hey why isn’t updated for iPhone X? You’ve had how long to update?,"Hi there! We don't have any info to share right now, but we'll pass your feedback on to the right folks 🙂 /PB",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-1784734,Please contact me about problems with app for Android. Thx,Hey there! What’s happening exactly? Can you DM us your account's username or email address? We'll take a look under the hood /RS,APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-2108113,"Srsly Your Android, Desktop, Web apps == worst I've used in > 10yrs. Please fix it. I'm ready to","Hey there! Don't worry, we're here to help. Can you send us the operating systems and Spotify versions you're using on your devices? We'll see what we can suggest /MT",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-173649,"Desktop app isn't playing songs, but it's playing on my phone. I have restarted and uninstalled the app with no joy","Hey there, help's here! Can you let us know your desktop's OS and the version of Spotify it's currently rocking? It'd also be super helpful if you could provide a screenshot of what you're seeing. Keep us in the loop /AV",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-980829,I am a student of life. Does that count?,"2: university, you should be able to sign up for the student discount via More info at /CH",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
spotify-80934,Hey ! I've been having some issues accessing any news?,"Hey! Don’t worry, we can help. What’s happening exactly? A screenshot of any error messages that you're getting will also help. We'll see what we can suggest /PK",APP_TECHNICAL_COMPATIBILITY,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_approved_suggestion
spotify-1678772,"PLEAAAASEEE update the app for iPhone X, I cant even look at it despite I have a new Discover Weekly playlist witch is my jaaam 🤮","Hi! Can you tell us exactly what's happening, along with the iOS and Spotify versions you're using? We'll see what we can suggest /GK",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-1658085,I am still having problems with my premium,Hey! We've just sent a DM your way. Let's carry on chatting there /NQ,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,PLAYLIST_LIBRARY_DISCOVERY,REVIEWED,,True,human,human_override
spotify-2259670,"On iOS 11.2 Beta 2 with #spotify 8.4.26.793, when I remove the headphones from my iPhone, the music keeps playing. This didn’t happen on other versions and also doesn’t happen on iOS Music app. Can you confirm this #bug?","Hey there! Don't worry, help's here. Just to check, could you let us know the iPhone model you're using? We'll see what we can suggest /MT",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-863703,so is this on Spotify or not? Shows up online but not in the app....,"Hi Jacob. Don't worry, we'll look into it. First up, can you tell us what country is your account set to? /JU",OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-79400,"Not me, but my bestie. She's trying to make acc on spotify because they said that something went wrong",Could you send us a DM with your friend's email address? We'll take a look backstage /MA,APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,ACCOUNT_ACCESS_SECURITY,REVIEWED,,True,human,human_override
spotify-2251356,"i have some music files i can access on my computer but i can't listen to them on my phone, it doesn't show up :(","Hey Jessica! Just to check, did you try following the exact steps at Let us know how it goes /JP",APP_TECHNICAL_COMPATIBILITY,Low,Customer evidence matched app technical compatibility cues. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply,PLAYBACK_AUDIO,REVIEWED,,True,human,human_override
spotify-753650,"If I uninstall Spotify and reinstall it, will my saved playlists delete? Would I have to start new?",Hey Nelly! Are you referring to music that you saved for offline or just in Your Library? /GS,PLAYLIST_LIBRARY_DISCOVERY,High,Customer evidence matched playlist library discovery cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,PLAYLIST_LIBRARY_DISCOVERY,REVIEWED,,True,human,human_override
spotify-2077438,There are tracks featured on my Spotify which I did not write. Have been in contact already but no sign of solution or care.,"Hi Josh! Just to check, did you fill out the following form to contact our Artist Services team: /SC",CONTENT_AVAILABILITY_METADATA,High,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-763733,i'm running the latest version of the app and a pixel with whatever the latest version of android is.,"Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /RV",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-490757,anybody else having an issue getting to connect to a at all? Won't play through the Spotify app or Sonos controller?!,"Hey Joe! Thanks for letting us know. Everything should be back up and running again soon. For anything else, we're just a tweet away /JP",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,COMMUNITY_INTEGRATIONS,REVIEWED,,True,human,human_override
spotify-1964335,thinks it's funny to try and kick me out of my account and not allow me to play music. literally about to throw hands. not cool.,Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /JS,ACCOUNT_ACCESS_SECURITY,High,Customer evidence matched account access security cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,ACCOUNT_ACCESS_SECURITY,REVIEWED,,True,human,human_override
spotify-998484,I’m trying to get Hulu from my student premium acct but it says I still have a free acct. helps.,Hey there! Can you DM us your account's email address? We'll take a look /RB,SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-2954674,"Hey, what do the new heart (like) and stop sign (don't like) buttons do on Discover Weekly songs? I thought they'd just affect future lists, but it says something about my library when I click the like one.","Hi Kim, we're here to help! Can you send us screenshots of what you're seeing? We'll check it out /WW",PLAYLIST_LIBRARY_DISCOVERY,High,Customer evidence matched playlist library discovery cues.,False,High,deterministic_heuristic_customer_and_reply,PLAYLIST_LIBRARY_DISCOVERY,REVIEWED,,True,human,human_override
spotify-1218575,No error messages. The web player is just very unreliable. It works periodically. Mostly freezes. Doesn't matter which laptop I use tbh,Hmm. Does the same thing happen on different browsers or an incognito window? Keep us posted /PB,APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-2201052,10.3.3 and it says free even though I have paid premium,Can you DM us your account's email address or username? We'll take a look backstage /NQ,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-286430,Not the late great Ronnie James Dio me thinks. spotify:album:5mBgXOL9Ei06v84sArsA8N,Hey there. Thanks for sending this to us. We'll get this reported. Great detective work! /LM,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-2780797,"need help with my family account please. rmates moved out and i removed them, trying to add new mates won't let me",Hi Shelly! Could you DM us the username or email address on your account? A screenshot of what you're seeing would also help. We'll check backstage /LP,SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-1112284,can you pay for subscription with gift cards and can you download for offline listening?,Hey Brian! Can you DM us your account's email address or username? We'll check backstage /AR,DOWNLOADS_OFFLINE_STORAGE,High,Customer evidence matched downloads offline storage cues.,False,High,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-2039555,"Got premium, and it reactivated my account which has a security check that I can't get past. Y'all better fix this.",Hey Alice! Could you DM us the email address linked to your Spotify account? We'll check it out backstage /BH,SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,OTHER_UNCLEAR,REVIEWED,,True,human,human_override
spotify-985604,"oi Spotify ya ole dog, can I upgrade my premium account to a family one with out having to start a new one and cancel the old one.",Hey Matthew! Can you DM us your account's email address or username? We'll take a look /NS,SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-1664969,let me fuckin listen to my music dammit,Hi there! Can you let us know what exactly is happening here? We'll see what we can suggest /NY,PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-1190770,"reply to my DM please, thank youu",We've just sent a DM your way. Let's carry on chatting there /CG,OTHER_UNCLEAR,Low,No clear standalone issue or taxonomy-specific evidence in the customer message.,True,Low,deterministic_heuristic_customer_and_reply,OTHER_UNCLEAR,REVIEWED,,True,human,human_override
spotify-2592336,. how come the app is not updated for iPhone X yet???,Hey! We understand - we’re working on it as we speak. Stay tuned 😁 /JQ,APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-2701631,UM. WHERE THE FUCK IS ME GUSTAS TU,Hi there! Can you DM us your account's email address? We'll take a look under the hood /DN,CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-2565922,"Why does Spotify insist on enabling repeat constantly? I listen to albums, and NEVER want repeat enabled. When I’m done an album, I move onto another. ?","Hey Matt! Don’t worry, we can help. Can you let us know the device/OS you’re using? We'll see what we can suggest /CO",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,PLAYBACK_AUDIO,REVIEWED,,True,human,human_override
spotify-1007217,"Help. Only some of my ""Songs"" are available offline on my Mac whereas all of them are available offline on my phone.","Hey there! That's odd. Have you tried logging out, restarting your device, then logging back in? /PB",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-2077242,I have spotify premium for over 3 years now. Why do I suddently lose all my downloaded songs? It has happenend for 3 times now,Hi there! Check out the steps under “Downloads unexpectedly removed” at They should help with this /SC,DOWNLOADS_OFFLINE_STORAGE,High,Customer evidence matched downloads offline storage cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-825320,why remove the preview feature? ☹️,Hey! We have more info about this here: Give us a shout if you have any questions /QI,FEATURE_REQUEST_PRODUCT_FEEDBACK,Medium,Customer evidence matched feature request product feedback cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-189891,What if I already pay $10 a month for spotify premium?,"Hey! If you're a student in one of our accredited schools, you can take the offer. You'll be charged 4,99 USD on your next renewal date /SC",SUBSCRIPTION_PLAN,Medium,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-1805867,Wonder if has this same problem.,Hey. Sorry to hear that. Check the steps under “Downloads unexpectedly removed” at They should help with this /QI,DOWNLOADS_OFFLINE_STORAGE,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-66015,"but it's been requested for years now, what's the point?",Our Devs team will check your votes and keep you updated on any news in the link we sent. Tweet us if you need more help /EA,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-500947,"hi, received the 12 months for price of 10 offer via email, followed the link, but it states that I am not eligible. Can you please clarify?","Hey there, help's here! Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK",BILLING_PAYMENT_REFUND,Low,Customer evidence matched billing payment refund cues. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Low,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
spotify-1347519,how does the mobile payment works?,Hey there! Could you send us your account's username or email address via DM? We'll take a look and see what we can suggest /LP,BILLING_PAYMENT_REFUND,High,Customer evidence matched billing payment refund cues.,False,High,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
spotify-948691,'Remember dis?',"We do. Rest assured, we'll give the right folks a nudge about your feedback. We hope it'd be available in all regions soon /AY",FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-391817,"I reset my password as soon as I noticed so I'm good, but I don't have my saved music, is there a way to restore the albums I have saved?","Got it! If it looks like your offline music isn't downloaded, we'll need to get them saved again. Keep us in the loop /JX",CONTENT_AVAILABILITY_METADATA,Medium,Customer evidence matched content availability metadata cues. A second taxonomy intent is also plausible. Customer message and historical reply point to different issues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-2251476,"is it possible to have my user id changed to somewhat readable, instead of random numbers?","2. username. Don't worry, we'll let the right team know it's something you'd like to see. For anything else, let us know /GU",FEATURE_REQUEST_PRODUCT_FEEDBACK,High,Customer evidence matched feature request product feedback cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-2774667,Ill be sleeping early and hope to wake up with #reputation album at or at 😕,We hear you! Your feedback has been noted and passed onto the team 🙂 /DR,FEATURE_REQUEST_PRODUCT_FEEDBACK,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,FEATURE_REQUEST_PRODUCT_FEEDBACK,REVIEWED,,True,human,human_override
spotify-1860490,"Hi, can someone help. The family redeem codes don't work! Wife added ok yesterday, today can't add my daughter. Thanks","Hey Kevin, help's here! Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK",SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-2306948,i️ don’t pay $15 a month for your bitchasses to delete my shit once a month y’all needa figure ur shit out,Hey! Sorry to hear you feel that way. Check out the steps under “Downloads unexpectedly removed” at /JS,DOWNLOADS_OFFLINE_STORAGE,Low,Customer message lacks a clear standalone issue; historical Spotify reply supplies limited contextual evidence.,True,Low,deterministic_heuristic_customer_and_reply,DOWNLOADS_OFFLINE_STORAGE,REVIEWED,,True,human,human_override
spotify-64361,Can do a special tariff for people who work full time and still can't afford £9.99 a month 🤔,"Hey Lauren! Thanks for sharing your thoughts. We'll make sure to pass this on to the team. In the meantime, you can check offers you can sign up for at Let us know if there's anything else we can help with /KM",SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-1659864,"""songs"" is now a 3 second preview. Playlists have a shuffle option and a 3 second preview option. I am so mad right now.","Hey Brett! Can you give us more info on this? What device, operating system, and Spotify version are you using? /NG",PLAYBACK_AUDIO,Medium,Customer evidence matched playback audio cues. Historical Spotify reply provides corroborating context. A second taxonomy intent is also plausible. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,PLAYBACK_AUDIO,REVIEWED,,True,human,human_override
spotify-2218776,Will you guys be making an iPhone X version that fills up the whole screen? At the moment I have black bars at the top and bottom of the app.,"Hey! We don't have any info on this right now, but we'll pass this on to the right team. Hopefully we'll have an update soon /TC",APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-1758258,"If i buy spotify gift cards, does it work for the family plan?","1: Hey, help's here! We're afraid it won't work as you can't apply additional discounts to a Premium for Family plan.",SUBSCRIPTION_PLAN,High,Customer evidence matched subscription plan cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,SUBSCRIPTION_PLAN,REVIEWED,,True,human,human_override
spotify-2289620,"8.4.26.793 on both devices. That's a bit weird, exact same versions on two devices one says your music the outher Says your library",Hmm. Can you DM us your account's email address? We'll take a look under the hood /KB,PLAYLIST_LIBRARY_DISCOVERY,Medium,Customer evidence matched playlist library discovery cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,PLAYLIST_LIBRARY_DISCOVERY,REVIEWED,,True,human,human_override
spotify-2302297,Why aren't Twice's non Japanese songs on ??,"Hey! Fingers crossed we'll be able to have them soon, but there's info about Spotify content here: /DF",CONTENT_AVAILABILITY_METADATA,High,Customer evidence matched content availability metadata cues. Historical Spotify reply provides corroborating context.,False,High,deterministic_heuristic_customer_and_reply,CONTENT_AVAILABILITY_METADATA,REVIEWED,,True,human,human_override
spotify-2456284,Update to fill the screen on the iPhone X already,Hi! We understand - we’re working on it as we speak. Stay tuned /RB,APP_TECHNICAL_COMPATIBILITY,High,Customer evidence matched app technical compatibility cues.,False,High,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-2431656,how can I change my Spotify account settings if it’s a Facebook account but I deleted my Facebook page months ago? Help!!,We've just sent a DM your way. Let's carry on chatting there /CG,COMMUNITY_INTEGRATIONS,Medium,Customer evidence matched community integrations cues. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,COMMUNITY_INTEGRATIONS,REVIEWED,,True,human,human_override
spotify-2246126,"I used the Inspect element in Chrome to look at the code for the form. It loaded in the window pane on the left side. When I closed the inspection tool, the form was still there. I entered my information and all is well. Weird.","Just to clarify, were you able to successfully update your payment details? /LM",APP_TECHNICAL_COMPATIBILITY,Medium,Customer evidence matched app technical compatibility cues. Historical Spotify reply provides corroborating context. Human review is required because the evidence is not sufficiently decisive.,True,Medium,deterministic_heuristic_customer_and_reply,APP_TECHNICAL_COMPATIBILITY,REVIEWED,,True,human,human_override
spotify-500973,I can't change my payment information and my payment won't go through for premium. Please help!,"Hey, help's arrived! Can you send us your account's email address or username via DM? We'll take a look /GT",BILLING_PAYMENT_REFUND,High,Customer evidence matched billing payment refund cues.,False,High,deterministic_heuristic_customer_and_reply,BILLING_PAYMENT_REFUND,REVIEWED,,True,human,human_override
